ID,image_width,image_height,image_depth
s_150,640,640,12
s_582,512,512,12
s_37,512,512,12
s_1022,640,640,12
s_750,512,512,12
s_909,512,512,12
s_500,512,512,12
s_747,512,512,12
s_936,320,320,12
s_679,512,512,12
s_955,512,512,12
s_242,512,512,12
s_194,512,512,12
s_127,512,512,12
s_8,512,512,12
s_862,512,512,12
s_740,640,640,12
s_96,512,512,12
s_920,512,512,15
s_463,512,512,12
s_903,640,640,12
s_581,512,512,12
s_875,640,640,12
s_407,640,640,12
s_79,640,640,12
s_793,640,640,12
s_940,512,512,12
s_117,640,640,12
s_1012,512,512,12
s_291,512,512,12
s_135,512,512,12
s_683,512,512,12
s_996,640,640,12
s_914,640,640,12
s_603,512,512,12
s_0,512,512,12
s_215,512,512,14
s_314,512,512,12
s_396,512,512,12
s_289,512,512,12
s_177,256,256,12
s_207,512,512,12
s_185,512,512,12
s_247,512,512,12
s_889,512,512,12
s_815,512,512,12
s_573,512,512,12
s_985,512,512,12
s_57,512,512,12
s_569,512,512,12
s_619,512,512,12
s_327,384,378,12
s_755,640,640,12
s_809,512,512,12
s_939,512,512,12
s_466,512,512,12
s_310,512,512,12
s_175,640,640,12
s_968,640,640,16
s_374,320,320,12
s_1009,512,512,12
s_869,384,378,12
s_219,512,512,12
s_950,640,640,14
s_217,640,640,12
s_672,512,512,12
s_736,512,512,12
s_1021,512,512,12
s_641,640,640,12
s_395,640,640,12
s_189,640,640,12
s_713,512,512,12
s_883,512,512,12
s_510,320,320,12
s_406,512,512,12
s_84,512,512,12
s_368,512,512,12
s_511,512,512,12
s_757,512,512,12
s_523,512,512,12
s_795,512,512,12
s_501,512,512,12
s_373,512,512,12
s_617,640,640,12
s_872,512,512,12
s_702,512,512,12
s_338,512,512,12
s_891,512,512,12
s_230,512,512,12
s_998,512,512,12
s_878,512,512,12
s_552,512,512,12
s_274,512,512,12
s_694,512,512,12
s_27,512,512,12
s_252,640,640,12
s_505,512,512,12
s_253,512,512,12
s_376,640,640,12
s_324,512,512,12
s_309,512,512,12
s_623,512,512,12
s_689,640,640,12
s_568,512,512,12
s_692,512,512,12
s_686,512,512,12
s_633,512,512,12
s_712,640,640,12
s_673,512,512,12
s_517,512,512,12
s_841,640,640,12
s_521,640,640,12
s_972,512,512,12
s_989,512,512,12
s_257,512,512,12
s_25,640,640,12
s_20,640,640,12
s_91,640,640,12
s_606,640,640,12
s_261,512,512,14
s_650,512,512,12
s_731,256,256,12
s_987,512,512,12
s_320,640,640,12
s_943,512,512,12
s_413,512,512,12
s_965,640,640,12
s_103,512,512,12
s_74,320,320,12
s_224,512,512,12
s_984,512,512,12
s_414,512,512,12
s_54,512,512,12
s_827,512,512,12
s_125,512,512,12
s_746,512,512,12
s_604,512,512,12
s_734,640,640,12
s_378,512,512,12
s_993,512,512,12
s_870,512,512,12
s_305,512,512,12
s_237,512,512,12
s_109,512,512,12
s_743,512,512,12
s_541,512,512,12
s_467,512,512,12
s_969,512,512,12
s_570,512,512,12
s_634,512,512,12
s_947,512,512,12
s_240,640,640,12
s_298,640,640,12
s_637,512,512,12
s_704,512,512,12
s_595,512,512,12
s_104,512,512,12
s_695,512,512,12
s_794,512,512,12
s_951,512,512,12
s_958,512,512,12
s_852,512,512,12
s_605,512,512,12
s_270,512,512,12
s_100,640,640,12
s_992,512,512,12
s_1005,640,640,12
s_594,512,512,12
s_136,512,512,12
s_24,512,512,12
s_53,512,512,12
s_5,512,512,12
s_611,512,512,12
s_620,512,512,12
s_645,512,512,12
s_699,512,512,12
s_982,512,512,12
s_1020,512,512,12
s_264,640,640,12
s_1002,512,512,12
s_557,640,640,12
s_256,512,512,12
s_571,640,640,12
s_433,512,512,12
s_691,640,640,12
s_892,512,512,12
s_616,640,640,12
s_832,640,640,12
s_455,512,512,12
s_402,640,640,12
s_19,512,512,12
s_235,640,640,12
s_113,512,512,12
s_187,640,640,12
s_259,512,512,12
s_529,512,512,12
s_690,512,512,12
s_210,512,512,12
s_932,512,512,12
s_618,512,512,12
s_596,640,640,12
s_32,512,512,12
s_216,512,512,12
s_895,384,378,12
s_441,512,512,12
s_860,640,640,16
s_567,512,512,12
s_742,640,640,12
s_255,640,640,12
s_200,640,640,12
s_930,512,512,12
s_615,512,512,12
s_353,512,512,12
s_513,512,512,12
s_894,512,512,12
s_352,512,512,12
s_953,640,640,12
s_913,640,640,12
s_359,512,512,12
s_344,512,512,12
s_208,512,512,12
s_842,512,512,12
s_981,512,512,12
s_800,512,512,12
s_711,640,640,12
s_789,512,512,12
s_788,512,512,12
s_979,512,512,12
s_365,640,640,12
s_763,512,512,12
s_481,640,640,12
s_778,512,512,12
s_490,640,640,12
s_866,512,512,12
s_986,512,512,12
s_345,512,512,12
s_12,512,512,12
s_724,640,640,12
s_576,512,512,12
s_454,512,512,12
s_157,640,640,12
s_18,320,320,12
s_621,512,512,12
s_231,512,512,14
s_539,512,512,12
s_593,512,512,14
s_38,512,512,12
s_410,512,512,12
s_591,512,512,12
s_478,512,512,12
s_50,640,640,12
s_655,512,512,12
s_562,640,640,12
s_820,512,512,12
s_341,512,512,12
s_948,640,640,12
s_647,512,512,14
s_934,512,512,12
s_857,512,512,12
s_55,640,640,12
s_86,512,512,12
s_34,512,512,12
s_758,512,512,12
s_728,640,640,12
s_358,640,640,12
s_245,512,512,12
s_556,640,640,12
s_294,512,512,12
s_798,512,512,12
s_482,640,640,12
s_999,512,512,12
s_661,640,640,12
s_845,512,512,12
s_179,512,512,12
s_681,640,640,12
s_874,640,640,12
s_888,512,512,12
s_518,640,640,12
s_438,512,512,12
s_973,512,512,12
s_786,640,640,12
s_418,640,640,12
s_132,512,512,12
s_877,512,512,12
s_266,512,512,12
s_784,512,512,12
s_9,640,640,12
s_286,512,512,12
s_465,512,512,12
s_297,512,512,12
s_756,512,512,12
s_366,512,512,12
s_371,512,512,12
s_718,512,512,12
s_1018,512,512,12
s_976,512,512,12
s_212,640,640,15
s_855,512,512,12
s_334,512,512,12
s_904,512,512,12
s_879,512,512,12
s_307,512,512,12
s_236,640,640,14
s_416,512,512,12
s_772,512,512,12
