Classifier,Fold,Repeat,train_auc,train_f1_macro,val_auc,val_mcc,val_kappa,val_f1_macro,val_accuracy,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Logistic Regression,3,1,0.9407879068793304,0.6246902793414421,0.8345073201942975,0.47279254334349224,0.46655044672041834,0.4379255304685688,0.6458333333333334,0.4743761729906161,"[0.0, 0.1111111111111111, 0.6, 0.8484848484848485, 0.6363636363636364]","[0.0, 0.4, 0.4883720930232558, 0.7466666666666667, 0.7368421052631579]","[0.0, 0.17391304347826086, 0.5384615384615384, 0.7943262411347518, 0.6829268292682927]","[0.0, 0.4, 0.4883720930232558, 0.7466666666666667, 0.7368421052631579]"
Logistic Regression,4,1,0.9398900668270883,0.6055680919982291,,0.4104249011127175,0.39560439560439553,0.40814814814814815,0.5804195804195804,0.565999847001224,"[0.0, 0.2, 0.6666666666666666, 0.847457627118644, 0.39285714285714285]","[0.0, 0.5, 0.4186046511627907, 0.6578947368421053, 0.6875]","[0.0, 0.2857142857142857, 0.5142857142857142, 0.7407407407407407, 0.5]","[nan, 0.5, 0.4186046511627907, 0.6578947368421053, 0.6875]"
Logistic Regression,5,1,0.934346994376414,0.6098678001666615,0.8259664248545804,0.4943429531398484,0.47712857249458995,0.4704030037546934,0.6573426573426573,0.5378848283499446,"[0.2, 0.1875, 0.5909090909090909, 0.9552238805970149, 0.3939393939393939]","[0.25, 0.3333333333333333, 0.43333333333333335, 0.7441860465116279, 0.9285714285714286]","[0.2222222222222222, 0.24, 0.5, 0.8366013071895425, 0.5531914893617021]","[0.25, 0.3333333333333333, 0.43333333333333335, 0.7441860465116279, 0.9285714285714286]"
Logistic Regression,6,2,0.9335410185430593,0.5814963973609553,0.798945879407053,0.42285416157586087,0.4085027726432532,0.42981766381766384,0.5833333333333334,0.48274170274170275,"[0.18181818181818182, 0.047619047619047616, 0.5416666666666666, 0.896551724137931, 0.5333333333333333]","[0.4, 0.25, 0.3611111111111111, 0.6753246753246753, 0.7272727272727273]","[0.25, 0.08, 0.43333333333333335, 0.7703703703703704, 0.6153846153846154]","[0.4, 0.25, 0.3611111111111111, 0.6753246753246753, 0.7272727272727273]"
Logistic Regression,7,2,0.9406526639202026,0.6320287701201837,0.8501974977631985,0.3999227314239477,0.38494623655913984,0.3717391304347826,0.5804195804195804,0.41684210526315796,"[0.0, 0.058823529411764705, 0.6666666666666666, 0.8387096774193549, 0.375]","[0.0, 0.14285714285714285, 0.4, 0.6842105263157895, 0.8571428571428571]","[0.0, 0.08333333333333333, 0.5, 0.7536231884057971, 0.5217391304347826]","[0.0, 0.14285714285714285, 0.4, 0.6842105263157895, 0.8571428571428571]"
Logistic Regression,8,2,0.9372759698788066,0.6265193919284646,0.878748719851884,0.5337566988850815,0.5277211720891013,0.4694146871117047,0.6713286713286714,0.4863033318257199,"[0.0, 0.16666666666666666, 0.7435897435897436, 0.8363636363636363, 0.59375]","[0.0, 0.2222222222222222, 0.6590909090909091, 0.6865671641791045, 0.8636363636363636]","[0.0, 0.19047619047619047, 0.6987951807228916, 0.7540983606557377, 0.7037037037037037]","[0.0, 0.2222222222222222, 0.6590909090909091, 0.6865671641791045, 0.8636363636363636]"
Logistic Regression,9,2,0.9372397790354491,0.6133927758590725,0.8654357590096202,0.4883477624624134,0.47889022919179736,0.503355565154366,0.6666666666666666,0.5974086378737542,"[0.125, 0.375, 0.6666666666666666, 0.8888888888888888, 0.375]","[0.5, 0.6, 0.5, 0.7441860465116279, 0.6428571428571429]","[0.2, 0.46153846153846156, 0.5714285714285714, 0.810126582278481, 0.47368421052631576]","[0.5, 0.6, 0.5, 0.7441860465116279, 0.6428571428571429]"
Logistic Regression,10,2,0.9342916386405928,0.5838764249735013,0.8977568938752098,0.5438129935247442,0.5381468456183163,0.5813818860877684,0.6853146853146853,0.6798477048477048,"[0.23076923076923078, 0.38461538461538464, 0.5925925925925926, 0.8636363636363636, 0.7083333333333334]","[0.75, 0.625, 0.4444444444444444, 0.7702702702702703, 0.8095238095238095]","[0.35294117647058826, 0.47619047619047616, 0.5079365079365079, 0.8142857142857143, 0.7555555555555555]","[0.75, 0.625, 0.4444444444444444, 0.7702702702702703, 0.8095238095238095]"
Logistic Regression,11,3,0.9411351363481483,0.6133530298753482,0.8719862547393328,0.4332532621842959,0.42001130582249857,0.4288888888888889,0.6041666666666666,0.48692307692307696,"[0.0, 0.14285714285714285, 0.4666666666666667, 0.9032258064516129, 0.6190476190476191]","[0.0, 0.5, 0.35, 0.717948717948718, 0.8666666666666667]","[0.0, 0.2222222222222222, 0.4, 0.8, 0.7222222222222222]","[0.0, 0.5, 0.35, 0.717948717948718, 0.8666666666666667]"
Logistic Regression,12,3,0.9382521473970794,0.6249658877547843,0.8519730712100312,0.462184371390409,0.45360824742268047,0.45722443024601295,0.6293706293706294,0.4959879618098796,"[0.2, 0.058823529411764705, 0.6, 0.8333333333333334, 0.6]","[0.3333333333333333, 0.2, 0.375, 0.7534246575342466, 0.8181818181818182]","[0.25, 0.09090909090909091, 0.46153846153846156, 0.7913669064748201, 0.6923076923076923]","[0.3333333333333333, 0.2, 0.375, 0.7534246575342466, 0.8181818181818182]"
Logistic Regression,13,3,0.9377340511126683,0.6197468202968491,0.8865006613330811,0.46235440266865313,0.45164888795928326,0.4582413419913419,0.6153846153846154,0.6390550018456995,"[0.07142857142857142, 0.14285714285714285, 0.5882352941176471, 0.8928571428571429, 0.6]","[1.0, 0.2857142857142857, 0.46511627906976744, 0.6944444444444444, 0.75]","[0.13333333333333333, 0.19047619047619047, 0.5194805194805194, 0.78125, 0.6666666666666666]","[1.0, 0.2857142857142857, 0.46511627906976744, 0.6944444444444444, 0.75]"
Logistic Regression,14,3,0.9472501981980053,0.6287958128462036,0.8218383706155631,0.40512416008321217,0.39620566400879853,0.44004780322703907,0.5763888888888888,0.4918170426065164,"[0.1, 0.3333333333333333, 0.4722222222222222, 0.8928571428571429, 0.37037037037037035]","[0.3333333333333333, 0.35714285714285715, 0.4857142857142857, 0.6578947368421053, 0.625]","[0.15384615384615385, 0.3448275862068966, 0.4788732394366197, 0.7575757575757576, 0.46511627906976744]","[0.3333333333333333, 0.35714285714285715, 0.4857142857142857, 0.6578947368421053, 0.625]"
Logistic Regression,15,3,0.932122171791743,0.599413453883727,0.8898365631049916,0.5589808930451483,0.5472295514511873,0.46566556024138245,0.7062937062937062,0.5308818342151675,"[0.0, 0.11764705882352941, 0.75, 0.9142857142857143, 0.5666666666666667]","[0.0, 0.5, 0.5142857142857142, 0.7901234567901234, 0.85]","[0.0, 0.19047619047619047, 0.6101694915254238, 0.847682119205298, 0.68]","[0.0, 0.5, 0.5142857142857142, 0.7901234567901234, 0.85]"
Logistic Regression,16,4,0.9366051660419465,0.6155071095281007,0.883861931323267,0.4775910549152108,0.4649959932978801,0.47557160795352627,0.6458333333333334,0.6583465315172632,"[0.14285714285714285, 0.2, 0.52, 0.8923076923076924, 0.5135135135135135]","[1.0, 0.2857142857142857, 0.3939393939393939, 0.7073170731707317, 0.9047619047619048]","[0.25, 0.23529411764705882, 0.4482758620689655, 0.7891156462585034, 0.6551724137931034]","[1.0, 0.2857142857142857, 0.3939393939393939, 0.7073170731707317, 0.9047619047619048]"
