,Test,p-value
log-sigma-2-mm-3D_glcm_JointEntropy,Kruskal-Wallis,1.1871638350980814e-235
original_glcm_Id,Kruskal-Wallis,1.9687109558508582e-235
squareroot_firstorder_Energy,Kruskal-Wallis,3.001917365962066e-230
squareroot_glrlm_ShortRunEmphasis,Kruskal-Wallis,3.449546827307277e-230
squareroot_glrlm_RunLengthNonUniformityNormalized,Kruskal-Wallis,4.886845720031347e-230
log-sigma-2-mm-3D_firstorder_Uniformity,Kruskal-Wallis,6.394201766435208e-230
log-sigma-3-mm-3D_firstorder_Mean,Kruskal-Wallis,3.652842408545438e-229
logarithm_glrlm_ShortRunEmphasis,Kruskal-Wallis,3.117006451956732e-227
wavelet2-LL_glcm_DifferenceEntropy,Kruskal-Wallis,6.1392640591572365e-227
logarithm_glrlm_RunLengthNonUniformityNormalized,Kruskal-Wallis,8.55449803557253e-227
wavelet2-HH_glcm_ClusterShade,Kruskal-Wallis,1.1755618742076701e-226
log-sigma-3-mm-3D_glcm_SumEntropy,Kruskal-Wallis,2.298303353356968e-225
log-sigma-2-mm-3D_gldm_DependenceEntropy,Kruskal-Wallis,8.56511004593604e-225
squareroot_firstorder_TotalEnergy,Kruskal-Wallis,7.685855128114474e-224
original_glcm_DifferenceAverage,Kruskal-Wallis,4.765589727296925e-220
logarithm_glszm_SmallAreaLowGrayLevelEmphasis,Kruskal-Wallis,5.954740769092138e-220
log-sigma-2-mm-3D_glcm_Imc1,Kruskal-Wallis,1.131806135124768e-219
log-sigma-0-6-mm-3D_glrlm_RunEntropy,Kruskal-Wallis,1.334330089946408e-219
wavelet2-LL_glcm_Id,Kruskal-Wallis,3.807431077073576e-219
wavelet2-LL_glcm_Idm,Kruskal-Wallis,7.529814468336872e-219
logarithm_glszm_ZonePercentage,Kruskal-Wallis,7.965300087859691e-217
original_glcm_DifferenceEntropy,Kruskal-Wallis,1.6987134831532739e-215
logarithm_gldm_SmallDependenceEmphasis,Kruskal-Wallis,2.0223621028230198e-215
log-sigma-2-mm-3D_firstorder_Mean,Kruskal-Wallis,5.103676641938046e-215
log-sigma-0-6-mm-3D_glcm_SumEntropy,Kruskal-Wallis,1.2062529016915472e-214
log-sigma-2-mm-3D_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,2.7336808709819106e-213
log-sigma-3-mm-3D_firstorder_Median,Kruskal-Wallis,5.5337726025746656e-213
squareroot_glszm_ZonePercentage,Kruskal-Wallis,4.112492175488346e-212
logarithm_glszm_LowGrayLevelZoneEmphasis,Kruskal-Wallis,6.646271923971769e-211
wavelet2-LL_glcm_DifferenceAverage,Kruskal-Wallis,1.2270958346389493e-210
log-sigma-3-mm-3D_firstorder_RootMeanSquared,Kruskal-Wallis,1.4318892570722226e-209
log-sigma-3-mm-3D_glszm_HighGrayLevelZoneEmphasis,Kruskal-Wallis,8.915859502075737e-208
wavelet2-LH_glcm_Correlation,Kruskal-Wallis,2.155198396848387e-207
squareroot_glcm_Imc1,Kruskal-Wallis,5.09415545548906e-207
log-sigma-0-6-mm-3D_firstorder_Entropy,Kruskal-Wallis,1.913609046094773e-206
squareroot_gldm_SmallDependenceEmphasis,Kruskal-Wallis,3.5558084676680774e-206
log-sigma-0-6-mm-3D_glcm_ClusterTendency,Kruskal-Wallis,8.13328511540534e-206
log-sigma-3-mm-3D_glcm_Idmn,Kruskal-Wallis,1.130921329529911e-205
log-sigma-3-mm-3D_glrlm_GrayLevelNonUniformityNormalized,Kruskal-Wallis,1.2751479808196044e-205
log-sigma-0-6-mm-3D_glrlm_GrayLevelVariance,Kruskal-Wallis,1.4066161434161564e-205
original_glszm_GrayLevelNonUniformityNormalized,Kruskal-Wallis,2.0096371215039097e-204
log-sigma-3-mm-3D_firstorder_Uniformity,Kruskal-Wallis,5.6034676586706786e-204
original_shape_Sphericity,Kruskal-Wallis,4.819243804628968e-202
original_glszm_GrayLevelVariance,Kruskal-Wallis,1.432298090245967e-201
log-sigma-0-6-mm-3D_glrlm_GrayLevelNonUniformityNormalized,Kruskal-Wallis,1.870011049297256e-201
log-sigma-0-6-mm-3D_glcm_SumSquares,Kruskal-Wallis,9.723331165659517e-201
log-sigma-0-6-mm-3D_gldm_DependenceEntropy,Kruskal-Wallis,7.175757615588974e-199
squareroot_glrlm_RunPercentage,Kruskal-Wallis,1.6101505822471088e-198
original_glszm_HighGrayLevelZoneEmphasis,Kruskal-Wallis,3.2623166054003803e-198
wavelet2-LH_glcm_SumEntropy,Kruskal-Wallis,4.279353177089344e-198
log-sigma-2-mm-3D_glszm_GrayLevelVariance,Kruskal-Wallis,5.763789542281968e-198
log-sigma-0-6-mm-3D_glcm_JointEntropy,Kruskal-Wallis,3.262896349999468e-196
wavelet2-LH_gldm_DependenceEntropy,Kruskal-Wallis,3.425315201287282e-196
log-sigma-2-mm-3D_glrlm_RunEntropy,Kruskal-Wallis,3.8596234088388437e-196
log-sigma-2-mm-3D_glcm_JointEnergy,Kruskal-Wallis,3.7943673367918114e-195
square_firstorder_Skewness,Kruskal-Wallis,7.976102622163755e-195
log-sigma-2-mm-3D_glszm_GrayLevelNonUniformityNormalized,Kruskal-Wallis,8.75709113652054e-195
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,Kruskal-Wallis,1.789233234598372e-193
wavelet2-LL_firstorder_Median,Kruskal-Wallis,4.2501782800101644e-193
squareroot_glszm_LowGrayLevelZoneEmphasis,Kruskal-Wallis,1.0080929026995427e-191
log-sigma-3-mm-3D_gldm_DependenceEntropy,Kruskal-Wallis,1.734263521156775e-191
log-sigma-0-6-mm-3D_firstorder_Variance,Kruskal-Wallis,2.6527024614684197e-191
original_gldm_SmallDependenceHighGrayLevelEmphasis,Kruskal-Wallis,7.998611327795619e-191
log-sigma-3-mm-3D_glszm_GrayLevelNonUniformityNormalized,Kruskal-Wallis,4.524343736311348e-190
log-sigma-3-mm-3D_firstorder_Minimum,Kruskal-Wallis,4.640778415249809e-190
log-sigma-2-mm-3D_firstorder_RootMeanSquared,Kruskal-Wallis,7.571039042032879e-190
log-sigma-0-6-mm-3D_gldm_GrayLevelVariance,Kruskal-Wallis,9.762805199447553e-190
original_firstorder_Median,Kruskal-Wallis,2.4173654535991506e-188
logarithm_glrlm_RunPercentage,Kruskal-Wallis,2.729061418024705e-186
original_glrlm_RunLengthNonUniformityNormalized,Kruskal-Wallis,7.048853239568871e-185
wavelet2-LL_glszm_ZonePercentage,Kruskal-Wallis,7.479056471000882e-185
original_glcm_Contrast,Kruskal-Wallis,2.6013590756883555e-184
