Classifier,Fold,Repeat,train_auc,train_f1_macro,val_auc,val_mcc,val_kappa,val_f1_macro,val_accuracy,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Logistic Regression,3,1,0.9267446462054167,0.6179363851963168,0.8204441169245946,0.4799772151393465,0.47434095049537905,0.5024416535149699,0.6239436619718309,0.5614021315933562,"[0.037037037037037035, 0.4900662251655629, 0.6871794871794872, 0.8217054263565892, 0.40384615384615385]","[0.10526315789473684, 0.5736434108527132, 0.5, 0.7881040892193308, 0.84]","[0.0547945205479452, 0.5285714285714286, 0.5788336933045356, 0.8045540796963947, 0.5454545454545454]","[0.10526315789473684, 0.5736434108527132, 0.5, 0.7881040892193308, 0.84]"
Logistic Regression,4,1,0.9227136836220579,0.5885471926166383,0.811301931772838,0.4720876625691065,0.45833525103894524,0.5226037570550648,0.6053370786516854,0.6229486305440342,"[0.14545454545454545, 0.38095238095238093, 0.7637362637362637, 0.7710843373493976, 0.45569620253164556]","[0.4444444444444444, 0.6436781609195402, 0.46488294314381273, 0.7245283018867924, 0.8372093023255814]","[0.2191780821917808, 0.47863247863247865, 0.577962577962578, 0.7470817120622568, 0.5901639344262295]","[0.4444444444444444, 0.6436781609195402, 0.46488294314381273, 0.7245283018867924, 0.8372093023255814]"
Logistic Regression,5,1,0.9291609599121806,0.6361792161321548,0.8304953547234604,0.4448120517270509,0.43840539765836883,0.45792110331071656,0.6069444444444444,0.5043113923470206,"[0.03225806451612903, 0.3277310924369748, 0.680628272251309, 0.7972508591065293, 0.3977272727272727]","[0.07142857142857142, 0.4875, 0.48507462686567165, 0.7483870967741936, 0.7291666666666666]","[0.044444444444444446, 0.39195979899497485, 0.5664488017429193, 0.7720465890183028, 0.5147058823529411]","[0.07142857142857142, 0.4875, 0.48507462686567165, 0.7483870967741936, 0.7291666666666666]"
Logistic Regression,6,2,0.9228978655747637,0.609253289684121,0.8583496644917223,0.5038290447822316,0.4942952440577708,0.531253944725237,0.6364902506963789,0.6406384340219013,"[0.11627906976744186, 0.43846153846153846, 0.6842105263157895, 0.8661417322834646, 0.44554455445544555]","[0.5, 0.6551724137931034, 0.5118110236220472, 0.7028753993610224, 0.8333333333333334]","[0.18867924528301888, 0.5253456221198156, 0.5855855855855856, 0.7760141093474426, 0.5806451612903226]","[0.5, 0.6551724137931034, 0.5118110236220472, 0.7028753993610224, 0.8333333333333334]"
Logistic Regression,7,2,0.924504976113583,0.6221703186651529,0.8293718075770184,0.45499744386468477,0.4464261942344212,0.4926805332061902,0.6069444444444444,0.5617440961581848,"[0.03571428571428571, 0.39097744360902253, 0.6842105263157895, 0.7892857142857143, 0.5245901639344263]","[0.2857142857142857, 0.5098039215686274, 0.45454545454545453, 0.778169014084507, 0.7804878048780488]","[0.06349206349206349, 0.4425531914893617, 0.5462184873949579, 0.7836879432624113, 0.6274509803921569]","[0.2857142857142857, 0.5098039215686274, 0.45454545454545453, 0.778169014084507, 0.7804878048780488]"
Logistic Regression,8,2,0.9281252230766031,0.6247069115481996,0.8217530874178618,0.4607415596523846,0.45508986986644917,0.4972924338932163,0.6175243393602226,0.5455099604042867,"[0.0851063829787234, 0.3711340206185567, 0.7009803921568627, 0.7620689655172413, 0.49382716049382713]","[0.23529411764705882, 0.4675324675324675, 0.5053003533568905, 0.7647058823529411, 0.7547169811320755]","[0.125, 0.41379310344827586, 0.5872689938398358, 0.7633851468048359, 0.5970149253731343]","[0.23529411764705882, 0.4675324675324675, 0.5053003533568905, 0.7647058823529411, 0.7547169811320755]"
Logistic Regression,9,2,0.9243226675472925,0.6115451415827444,0.8087401263593496,0.46548734473623227,0.4593475533249687,0.5132518050368278,0.6100981767180925,0.5891030608715095,"[0.1016949152542373, 0.44594594594594594, 0.6358695652173914, 0.8410852713178295, 0.453125]","[0.35294117647058826, 0.5454545454545454, 0.4624505928853755, 0.7560975609756098, 0.8285714285714286]","[0.15789473684210525, 0.49070631970260226, 0.5354691075514875, 0.7963302752293578, 0.5858585858585859]","[0.35294117647058826, 0.5454545454545454, 0.4624505928853755, 0.7560975609756098, 0.8285714285714286]"
Logistic Regression,10,2,0.9284742035432947,0.6206038538885554,0.837675198632614,0.461974411293692,0.4566190926459457,0.48914292019356564,0.6112676056338028,0.5547412613197958,"[0.09090909090909091, 0.45569620253164556, 0.6746411483253588, 0.8125, 0.32857142857142857]","[0.17647058823529413, 0.5901639344262295, 0.5261194029850746, 0.7142857142857143, 0.7666666666666667]","[0.12, 0.5142857142857142, 0.5911949685534591, 0.7602339181286549, 0.46]","[0.17647058823529413, 0.5901639344262295, 0.5261194029850746, 0.7142857142857143, 0.7666666666666667]"
Logistic Regression,11,3,0.9258217603058256,0.6270099082731324,0.8156234786561065,0.45084096946663876,0.44171216943840463,0.48417770223710815,0.5972027972027972,0.5616629377120489,"[0.07547169811320754, 0.391025641025641, 0.6684782608695652, 0.8452380952380952, 0.37142857142857144]","[0.19047619047619047, 0.5922330097087378, 0.462406015037594, 0.7244897959183674, 0.8387096774193549]","[0.10810810810810811, 0.47104247104247104, 0.5466666666666666, 0.7802197802197802, 0.5148514851485149]","[0.19047619047619047, 0.5922330097087378, 0.462406015037594, 0.7244897959183674, 0.8387096774193549]"
Logistic Regression,12,3,0.9264771756338088,0.6163441426997337,0.8516147472574509,0.43707895568806493,0.4285714285714286,0.48234757376117143,0.5804195804195804,0.5823488925229053,"[0.07017543859649122, 0.39869281045751637, 0.6702702702702703, 0.8076923076923077, 0.43023255813953487]","[0.5, 0.5304347826086957, 0.46096654275092935, 0.6948529411764706, 0.7254901960784313]","[0.12307692307692308, 0.4552238805970149, 0.5462555066079295, 0.7470355731225297, 0.5401459854014599]","[0.5, 0.5304347826086957, 0.46096654275092935, 0.6948529411764706, 0.7254901960784313]"
